Assembly_ID,Accession_Name,Accession_ID,Accession_alias,Original_Assembly_ID,Version,QC_pipeline,Final_assembly,TMP_comments,CSnumber,Latitude,Longitude,Altitude,Gaps,Sum,Largest,Pangenome_reference,Primary_Sequencing_Technology,Assembler,Individual_or_pool,Latest_released_Year,Published,Publication_First_author,Publication_year,Publication_Journal,Publication_DOI,Publication_URL,Best_unique_assembly
100059,ANGE-B-2,22010,,,1.0,,,,,43.91214,1.656855,168.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100060,AUZE-A-11,22011,,,1.0,,,,,43.527792,1.491628,200.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2024.0,no,Duflos,,unpublished,,,
100061,AUZE-A-5,22012,,,1.0,,,,,43.527792,1.491628,200.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100062,BANI-C-1,22013,,,1.0,,,,,43.043644,0.234303,487.0,12.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100063,BANI-C-12,22014,,,1.0,,,,,43.043644,0.234303,487.0,3.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100064,BARA-C-3,22015,,,1.0,,,,,44.270842,2.427551,756.0,8.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100065,BARA-C-5,22016,,,1.0,,,,,44.270842,2.427551,756.0,2.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100066,BARC-A-12,22017,,,1.0,,,,,43.362044,0.387723,218.0,17.0,,,no,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100067,BARC-A-17,22018,,,1.0,,,,,43.362044,0.387723,218.0,9.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
100068,BELC-C-10,22019,,,1.0,,,,,44.389212,2.336636,453.0,5.0,,,yes,HiFi,hifiasm_v0.16.1-r375,Pool,2023.0,yes,Wlodzimierz,2023.0,Nature,10.1038/s41586-023-06062-z,https://www.nature.com/articles/s41586-023-06062-z,
